item_number,item_description,group_name,vendor_price_usd,price_valid_till,notes,price_expired,phase_out_flag,vendor,vendor_brand,country,price_type,source_file
616294000,"M-Calibur 230x7,0x22,23 mm              ",Accessory,8.463,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616299000,Flexiamant 180x3.0x22.2 Inox            ,Accessory,1.7615,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616300000,"Flexiamant 180x3,0x22,2 steel           ",Accessory,1.7615,2026-03-31,Phase out - Confirmar disponibilidad,True,True,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616302000,"Flexiamant 230x3,0x22,2 steel           ",Accessory,2.223,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616303000,"Flexiamant super 230x3,0x22,2 stone     ",Accessory,2.4115,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616310000,"Flexiamant 125x2,5x22,2 steel           ",Accessory,1.0595,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616315000,"Novorapid 115x1.6x22.23 Inox, TF41      ",Accessory,0.793,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616316000,"Novorapid 125x1.6x22.23 Inox, TF41      ",Accessory,0.8710000000000001,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616327000,"Flexiamant super 350x3,0x25,4 steel     ",Accessory,6.0385,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616328000,"Flexiamant super 300x2,5x25,4 steel     ",Accessory,4.069,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616338000,"Flexiamant super 350x3,0x25,4 steel     ",Accessory,6.0385,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616339000,"Flexiamant super 350x3,0x25,4 steel     ",Accessory,6.7795,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616343000,"Flexiamant super 350x3,0x25,4 stainless ",Accessory,6.7795,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616346000,"Flexiamant 355x 3,0 x 25.4 mm steel     ",Accessory,3.796,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616347000,50 Flexiarapid super 105x1.0x16 Inox    ,Accessory,52.806,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616358000,10 Cutting Discs-SP 115x1.0x22.23 mm    ,Accessory,7.5975,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616359000,10 Cutting Discs -SP 125x1.0x22.23 mm   ,Accessory,8.3625,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616368000,"10 Cutting Discs-SP180x1,5x22.23 InoxTF4",Accessory,13.169999999999998,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616369000,"10 Cutting Discs-SP230x1,9x22.23 InoxTF ",Accessory,17.4975,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616398000,10 Cutting Discs-SP 115x1.0x22.23 mm100 ,Accessory,6.0075,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616399000,10 Cutting Discs -SP125x1.0x22.23 mm 100,Accessory,6.615,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616420000,"Novoflex 115x3,0x22,2 steel             ",Accessory,0.8385,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616429000,"Novoflex 100x6,0x16,0 steel             ",Accessory,1.04,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616442000,"Novoflex 115x2,5x22,2 steel             ",Accessory,0.8385,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616444000,"Novoflex 125x2,5x22,2 steel             ",Accessory,0.923,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616446000,"Novoflex 100x2,5x16,0 steel             ",Accessory,0.7344999999999999,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616448000,"Novoflex 150x3,0x22,2 steel             ",Accessory,1.1635,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616450000,"Novoflex 180x3,0x22,2 steel             ",Accessory,1.404,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616452000,"Novoflex 230x3,0x22,2 steel             ",Accessory,2.002,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616454000,"Novoflex 115x2,5x22,2 steel             ",Accessory,0.8385,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616456000,"Novoflex 125x2,5x22,2 steel             ",Accessory,0.936,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616457000,"Novoflex 180x3,0x22,2 steel             ",Accessory,1.404,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616460000,"Novoflex 115x6,0x22,2 steel             ",Accessory,1.1635,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616462000,"Novoflex 125x6,0x22,2 steel             ",Accessory,1.3390000000000002,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616464000,"Novoflex 150x6,0x22,2 steel             ",Accessory,1.7420000000000002,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616465000,"Novoflex 180x6,0x22,2 steel             ",Accessory,2.0735,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616468000,"Novoflex 230x6,0x22,2 steel             ",Accessory,3.042,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616477000,"Novoflex 230x3,0x22,2 steel             ",Accessory,2.002,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616486000,"Flexiamant super 125x6,0x22,2 steel     ",Accessory,1.6445,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616487000,"Flexiamant super 150x6,0x22,2 steel     ",Accessory,2.223,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616492000,"Novorapid 115x1,0x22,23 Inox            ",Accessory,0.949,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616493000,"Novorapid 125x1,0x22,23 Inox            ",Accessory,1.04,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616495000,"Novorapid 180x1,5x22,23 Inox            ",Accessory,1.521,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616496000,"Novorapid 230x1,9x22,23 Inox            ",Accessory,1.9955,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616500000,"Combinator 115x1,9x22,23 Inox           ",Accessory,2.015,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616501000,"Combinator 125x1,9x22,23 Inox           ",Accessory,2.1645000000000003,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616503000,"Flexiamant Z-upper  180x7,0x22,2 steel  ",Accessory,5.811,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616505000,"Novorapid 115x1,0x22,23 steel           ",Accessory,0.923,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616506000,"Novorapid 125x1,0x22,23 steel           ",Accessory,0.9685,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616507000,"Novorapid 150x1,6x22,23 steel           ",Accessory,1.3910000000000002,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616508000,"Novorapid 180x1,6x22,23 steel           ",Accessory,1.56,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616509000,"Novorapid 230x1,9x22,23 steel           ",Accessory,2.0735,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616512000,"Flexiarapid 115x1,0x22,23 Alu           ",Accessory,1.131,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616513000,"Flexiarapid 125x1,0x22,23 Alu           ",Accessory,1.131,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616514000,"Flexiarapid 150x1,6x22,23 Alu           ",Accessory,1.469,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616515000,"Flexiarapid 180x1,6x22,23 Alu           ",Accessory,1.7745,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616516000,"Flexiarapid 230x1,9x22,23 Alu           ",Accessory,2.249,2026-03-31,Phase out - Confirmar disponibilidad,True,True,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616520000,"Flexiamant Z-upper  230x7,0x22,2 steel  ",Accessory,6.363499999999999,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616526000,"Novorapid 115x1.0x22.23 Universal,T41   ",Accessory,0.7215000000000001,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616527000,"Novorapid 125x1.0x22.23 Universal,TF41  ",Accessory,0.7474999999999999,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616528000,"Novorapid 180x1.5x22.23 Universal, TF41 ",Accessory,1.2285,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616529000,"Novorapid 230x1.9x22.23 Universal, TF41 ",Accessory,1.612,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616554000,"Flexiamant 150x6,0x22,2 steel           ",Accessory,2.223,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
616560000,"Flexiamant 180x6,0x22,2 steel           ",Accessory,2.7820000000000005,2026-03-31,,True,False,Metabo,Metabowerke GmbH,Germany,landed,251030 Lista precios METABO -JMC.xlsx
