item_number,item_description,vendor,vendor_brand,country,price_type,vendor_price_usd,pt_price_ca35,pt_price_ca40,phase_out_flag,ronix_fob_price_usd,vendor_price_jmd
20140-B,Bin for 20140,Workpro,Workpro,China,landed,3.72,3.69,3.41,,,583.980852
20145,67 pc. Bit Set,Workpro,Workpro,China,landed,6.71,6.32,5.84,,,1053.363311
20145-B,Bin for 20145,Workpro,Workpro,China,landed,3.72,3.69,3.41,,,583.980852
20146,9 pc. SAE Aluminum Hex Key Set,Workpro,Workpro,China,landed,5.28,4.97,4.58,,,828.8760480000001
20146-B,Bin for 20146,Workpro,Workpro,China,landed,3.72,3.69,3.41,,,583.980852
20147,10 pc. Aluminum Folding Star Key Set,Workpro,Workpro,China,landed,5.28,4.91,4.53,,,828.8760480000001
20148,8 pc. Metric Aluminum Hex Key Set,Workpro,Workpro,China,landed,5.28,4.97,4.59,,,828.8760480000001
20148-B,Bin for 20148,Workpro,Workpro,China,landed,3.72,3.69,3.41,,,583.980852
20149-B,Bin for 20149,Workpro,Workpro,China,landed,3.72,3.69,3.41,,,583.980852
20150,Lighted Magnetic Pickup Tool,Workpro,Workpro,China,landed,4.57,4.52,4.18,,,717.4173370000001
20150-B,Bin for 20150,Workpro,Workpro,China,landed,3.72,3.69,3.41,,,583.980852
20151,38 pc. Ratcheting Driver Set,Workpro,Workpro,China,landed,6.37,5.97,5.51,,,999.9887170000001
20151-B,Bin for 20151,Workpro,Workpro,China,landed,3.72,3.69,3.41,,,583.980852
20152,6-in-1 Screwdriver,Workpro,Workpro,China,landed,2.98,2.82,2.6,,,467.81261800000004
20152-B,Bin for 20152,Workpro,Workpro,China,landed,3.72,3.69,3.41,,,583.980852
20154,33 pc. Precision Driver Set,Workpro,Workpro,China,landed,8.09,7.59,7.01,,,1270.001369
20154-B,Bin for 20154,Workpro,Workpro,China,landed,3.72,3.69,3.41,,,583.980852
20156,23 pc. Ratcheting Bit and Socket Set,Workpro,Workpro,China,landed,7.79,7.33,6.77,,,1222.9061390000002
20161-B,Bin for 20161,Workpro,Workpro,China,landed,3.72,3.69,3.41,,,583.980852
20162,"6"" Diagonal Pliers",Workpro,Workpro,China,landed,2.55,2.47,2.28,,,400.309455
20162-B,Bin for 20162,Workpro,Workpro,China,landed,3.72,3.69,3.41,,,583.980852
20165,5 pk. Colored Electrical Tape,Workpro,Workpro,China,landed,2.78,2.66,2.45,,,436.415798
20165-B,Bin for 20165,Workpro,Workpro,China,landed,3.72,3.69,3.41,,,583.980852
20169,4X Magnifying Glass,Workpro,Workpro,China,landed,4.37,4.12,3.81,,,686.020517
20169-B,Bin for 20169,Workpro,Workpro,China,landed,3.72,3.69,3.41,,,583.980852
20170-B,Bin for 20170,Workpro,Workpro,China,landed,3.72,3.69,3.41,,,583.980852
20181-B,Bin for 20181,Workpro,Workpro,China,landed,3.72,3.69,3.41,,,583.980852
20183,Multi-Purpose Scissors,Workpro,Workpro,China,landed,1.94,1.93,1.78,,,304.549154
20183-B,Bin for 20183,Workpro,Workpro,China,landed,3.72,3.69,3.41,,,583.980852
20187,3v Pen Style Cordless Engraver,Workpro,Workpro,China,landed,4.36,4.28,3.95,,,684.4506760000002
20191,Tweezers with LED Light,Workpro,Workpro,China,landed,4.28,4.11,3.79,,,671.8919480000001
20193,Back Scratcher Pickup Tool,Workpro,Workpro,China,landed,3.0,2.98,2.75,,,470.95230000000004
20195,5 pc. Polyester Paint Brush Set,Workpro,Workpro,China,landed,2.81,2.78,2.56,,,441.12532100000004
20197,"5"" Junior Jumbo Carabiner",Workpro,Workpro,China,landed,3.14,2.99,2.76,,,492.93007400000005
20197-B,Bin for 20197,Workpro,Workpro,China,landed,3.72,3.69,3.41,,,583.980852
20202,70+LM Penlight,Workpro,Workpro,China,landed,3.92,3.74,3.45,,,615.3776720000001
20203,100LM Bat Light,Workpro,Workpro,China,landed,7.04,6.62,6.11,,,1105.1680640000002
20204,75LM Pink Tactical Flashlight,Workpro,Workpro,China,landed,4.02,3.85,3.55,,,631.0760819999999
20204-B,Bin for 20204,Workpro,Workpro,China,landed,3.72,3.69,3.4,,,583.980852
20205,Mini Lock Back Utility Knife,Workpro,Workpro,China,landed,4.14,3.83,3.54,,,649.914174
20207,Mini Razor Scraper,Workpro,Workpro,China,landed,0.66,0.66,0.61,,,103.60950600000001
20209,350LM COB Work Light,Workpro,Workpro,China,landed,5.85,5.74,5.3,,,918.356985
20209-B,Bin for 20209,Workpro,Workpro,China,landed,3.72,3.69,3.41,,,583.980852
2021,Tool Tablesign Kit,Workpro,Workpro,China,landed,10.3,10.06,9.29,,,1616.9362300000003
20212-B,Bin for 20212,Workpro,Workpro,China,landed,3.72,3.69,3.41,,,583.980852
20213-B,Bin for 20213,Workpro,Workpro,China,landed,3.72,3.69,3.41,,,583.980852
20216-B,Bin for 20216,Workpro,Workpro,China,landed,3.72,3.69,3.41,,,583.980852
