item_number,item_description,product_description,order_quantity,qty_per_carton,cbm_per_carton,fob_unit_price_usd,estimated_landed_price_usd,freight_factor_applied,NOTE_ronix_pricing,vendor,vendor_brand,country,price_type,source_file
3150N,"Mini Angle Grinder
115 mm","Power : 1050W
No Load Speed : 11000 rpm
Cutting Disk Diameter : 115 mm
Cable Length : 3 m
Weight : 2.4 kg",0,8,0.0731,23.14,30.082,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
3151,"Long Handle Mini
Grinder
125 mm","Power : 1000 W
No Load Speed : 11000 rpm
Cutting Disk Diameter : 115 mm
Cable Length : 3 m
Weight : 2.05 kg",0,6,0.047,21.06,27.378,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
3160 115mm,"Mini Angle Grinder
115 mm","Power : 1400 W
No Load Speed : 9000 rpm
Wheel diameter : 115 mm
Weight : 3.2 kg",0,8,0.0803,29.95,38.935,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
3161,"Mini Angle Grinder
115 mm","Power : 1200 W
No Load Speed : 3000-11000RPM
Wheel diameter : 115 mm
Weight : 2.05 kg",0,8,0.0686,21.29,27.677,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
3165,"MiNi Angle Grinder
125 mm","Power : 1500 W
No load speed : 3000-8500 rpm
Disc diameter : 125 mm
Spindle Diameter : 14 mm
Weight : 3.1 kg",0,8,0.0773,30.75,39.975,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
3165BS,"MiNi Angle Grinder
125 mm","Power : 1500 W
No load speed : 3000-8500 rpm
Disc diameter : 125 mm
Spindle Diameter : 14 mm
Weight : 3.1 kg",0,8,0.0795,31.27,40.651,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
3210 180mm,"Angle Grinder
180 mm","Power : 2400 W
No Load Speed : 8000 rpm
Wheel Diameter : 180 mm
Spindle Thread : 4 M
Weight : 5.5 kg",0,#N/A,#N/A,,,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
3211 180mm,"Angle Grinder
180 mm","Power : 2350 W
No Load Speed : 8000 rpm
Wheel Diameter : 180 mm
Spindle Thread : 14 M
Weight : 5.25 kg",0,#N/A,#N/A,38.06,49.478,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
3220,"Angle Grinder
230 mm","Power : 2400 W
No Load Speed : 6000 rpm
Cutting Disk Diameter : 230 mm
Cable Length : 4 m
Weight : 5.5 kg",0,2,0.0356,51.41,66.833,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
3231,"Mini Angle Grinder
180 mm","Power : 2400 W
No Load Speed : 8000 rpm
Wheel Diameter : 180 mm
Spindle Thread : 14 M
Weight : 5.2 kg",0,2,0.0385,42.42,55.146,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
3241,"Angle Grinder
230 mm","Power : 2400 W
No Load Speed : 6000 rpm
Wheel Diameter : 230 mm
Spindle Thread : 14 M
Weight : 5.3 kg",0,2,0.0378,48.01,62.413,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
3241BS,"Angle Grinder
230 mm","Power : 2400 W
No Load Speed : 6000 rpm
Wheel Diameter : 230 mm
Spindle Thread : 14 M
Weight : 5.3 kg",0,2,0.0378,48.01,62.413,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
3250,"Angle Grinder
180mm","Power : 2200 W
No Load Speed : 8500 RPM
Wheel Diameter : 180mm
Spindle Thread : M14
Weight : 4.16KG",0,4,0.0409,41.8,54.34,1.3,FOB Iran. Landed estimate uses x1.3 multiplier. Update RONIX_FREIGHT_FACTOR for your actual freight + duty rate.,Ronix,Ronix Tools,China,fob,price list -new (1).pdf
