item_number,item_description,pt_current_price,pt_cpl35_price,pt_price_change_pct,standard_pack,inner_qty,master_qty,upc,class_code,class_desc,brand_code,brand_desc,subclass_code,subclass_desc,group_name,is_new_item,pt_price_ca35,pt_price_ca40,vendor,vendor_brand,country,price_type,source_file
W80657,Flexible Hose Clamp Driver,5.18,5.18,0.0,1.0,6,48,39564119972.0,4,Specialty Tools,1.0,Performance Tool,7,Belts & Hoses,,,4.82,4.45,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80659,Universal Hose Clamp Pliers,21.65,22.81,0.0535535535535535,1.0,6,24,39564134043.0,2,Hand Tools,1.0,Performance Tool,7,Pliers & Cutters,,,19.92,18.38,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80661,Medium Tail Pipe Expander,16.52,16.52,0.0,1.0,6,24,39564806612.0,4,Specialty Tools,1.0,Performance Tool,5,Exhaust,,,15.93,14.71,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80662,Large Tail Pipe Expander,24.15,24.15,0.0,1.0,6,12,39564806629.0,4,Specialty Tools,1.0,Performance Tool,5,Exhaust,,,23.27,21.48,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80663,Exhaust Manifold Spreader,8.23,8.71,0.0578947368421052,1.0,6,48,39564806636.0,4,Specialty Tools,1.0,Performance Tool,5,Exhaust,,,7.45,6.88,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80664,Tail Pipe Cutter,31.21,33.12,0.0610898993405068,1.0,6,24,39564806643.0,4,Specialty Tools,1.0,Performance Tool,5,Exhaust,,,28.3,26.12,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80668,Fuel Tank Lock Ring Tool,11.47,11.47,0.0,1.0,6,24,39564129223.0,4,Specialty Tools,1.0,Performance Tool,25,Fuel,,,10.96,10.12,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80670,Double Flare Tool,14.86,14.87,0.0,1.0,6,24,39564806704.0,4,Specialty Tools,1.0,Performance Tool,37,Brake Lines,,,14.22,13.12,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80671,37 Deg. Flaring Tool,14.82,14.82,0.0,1.0,6,24,39564806711.0,4,Specialty Tools,1.0,Performance Tool,37,Brake Lines,,,14.01,12.93,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
W80672,ISO (Bubble) Flaring Tool Set,16.04,16.04,0.0,1.0,6,24,39564806728.0,4,Specialty Tools,1.0,Performance Tool,37,Brake Lines,,,15.32,14.14,CPL,CPL35,USA,landed,CPL35 Jan 02 2026 Price File.xlsx
